SMM4H2022UsOrVPnHjHXTdciW	ADE	30	38	bruising
SMM4H2022nqSx5YKgncBmaJ40	ADE	22	39	staring at myself
SMM4H20227fgc68K2dIAbvPLj	ADE	68	93	ripping their clothes off
SMM4H20226SwdPJeIwdtgHNlJ	ADE	96	123	feel like i am going to die
SMM4H2022grb3peMyLn0aZM4G	ADE	78	96	straighten my hair
SMM4H2022PkLf7iWoae4WnahZ	ADE	80	86	cramps
SMM4H2022VA0lFurlV5FcCmyJ	ADE	22	104	sweaty incident during the show yesterday i looked it up and whaddayaknow sweating
SMM4H2022T4xOdFkQosP6NHaC	ADE	92	103	lightheaded
SMM4H20227boRJh6GFoGsF3Sk	ADE	13	76	addicted to xanax in high school its a miracle i still remember
SMM4H20222krXvnYPV9QfSjWh	ADE	108	118	withdrawal
SMM4H20224R9sQnvkX9I7VZAX	ADE	20	24	sick
SMM4H2022BLaO11F6PBtc2siW	ADE	34	45	throwing up
SMM4H2022s0qpuic35LSW4til	ADE	98	110	the shingles
SMM4H20227HrpD4eKixKkdJzv	ADE	14	133	weird dreams dreamed i was hanging out with a group of young gay men who were obsessed with obtaining perfect dark skin
SMM4H2022ZC9i6G9IQAgp3sPy	ADE	31	36	tummy
SMM4H2022uRKWYu44Bz2xGHTy	ADE	84	103	personality changes
SMM4H2022M5W38tQa99CiPRS3	ADE	115	127	gall bladder
SMM4H2022efGJKGD8nExIEIhR	ADE	89	98	tolerance
SMM4H2022SsDRFvvHQ72T9yH3	ADE	105	127	lost 3 days of my life
SMM4H20226XAgyMzjvduMDysd	ADE	30	35	drunk
SMM4H2022BDRlkCz1Za7LIROE	ADE	39	45	cramps
SMM4H20224gHYVb4cCdRqZQkV	ADE	4	10	dreams
SMM4H2022Nxslx2I1hINpQkoO	ADE	19	31	mad appetite
SMM4H2022DBvZyNTL93kxdnNj	ADE	12	128	flares floor me so i can empathise with you on that doc put me on lyrica 18mths ago n iv put 5st on n lost my memory
SMM4H2022wjqmynj1AA27MYUw	ADE	32	50	opioid withdrawals
SMM4H2022xalCyNWv07BQz9O9	ADE	136	158	pee more and obviously
SMM4H2022DvzTYDUlfMIvxSbH	ADE	3	9	bowels
SMM4H20220sD1HwRFGvwkezbi	ADE	44	50	bitchy
SMM4H2022RGSiPodnuZPLDh5v	ADE	101	111	feel worse
SMM4H2022NBsyG5dH3rrbVAUt	ADE	64	114	tumbling out of dreams into a half conscious state
SMM4H2022M8AYElg2hJ7MYDVx	ADE	32	39	jitters
SMM4H2022Uf0Oxd3mi4fNoV2a	ADE	9	213	doctors refuse to listen even to doctors dr duane graveline astronaut aerospace medical research scientist flight surgeon family doctor was given lipitor to his cholesterol temporarily lost his s t memory
SMM4H2022s1Zn22jgSVGrasWa	ADE	18	49	bloated today adderall hangover
SMM4H2022qZqN9jjRD5Bhk37E	ADE	61	78	fart like buggery
SMM4H2022aSuoYosdjB6Lb43q	ADE	75	80	drunk
SMM4H2022wvj3sx6Qhv1O0syX	ADE	123	131	acidosis
SMM4H2022iTRgAHEyjPzWS7vS	ADE	91	104	hallucinating
SMM4H20228vFMAL0NoDZpuQTZ	ADE	35	39	pain
SMM4H2022DZ5yPvaeicULnbXG	ADE	67	82	hyper not chill
SMM4H2022qcIAfmm6wDxbkbed	ADE	9	72	knocked me out last night probably bc i tried taking it nasally
SMM4H2022wyRyym737XahkuqC	ADE	33	46	double vision
SMM4H2022iQ284c6TW4WGyXSA	ADE	21	25	weak
SMM4H202294rFNyud0rCu9ntS	ADE	48	74	heart started to beat fast
SMM4H2022Qm3z9MPj6rlAB1O9	ADE	44	49	shaky
SMM4H2022K93QunxZV2ni6V3I	ADE	36	59	wide awake or exhausted
SMM4H2022DUu1svzkMiSxcodR	ADE	25	33	reaction
SMM4H2022q5XtQn60Y9Dr1edB	ADE	70	79	vibrating
SMM4H2022bXp4SWpCCHCk9Hme	ADE	40	62	lose a bunch of weight
SMM4H2022kkobwAqVNqA1GGuJ	ADE	53	63	withdrawal
SMM4H2022xrg3OdTdfNFp7pUh	ADE	116	118	gi
SMM4H2022ugDfMDBXl79sRcFc	ADE	46	57	on my veins
SMM4H2022Uam3u6R6hVIcVPTO	ADE	40	60	no appetite or sleep
SMM4H2022CxdAD8SLUr1d4iCz	ADE	116	133	trashed my immune
SMM4H2022C5Ub9pXNZm16kk9Q	ADE	54	73	worse than the pain
SMM4H2022Sw9eCZnIFfFAdXxC	ADE	75	83	nauseous
SMM4H2022wHZlXxh2bN0k8r7B	ADE	17	33	have no appetite
SMM4H2022oyrh7t24NyMKcR9M	ADE	36	57	wings and i can t eat
SMM4H2022VbRv0HAR8toib8he	ADE	95	119	crashed my immune system
SMM4H2022oE3t4lSFkbBVRdni	ADE	42	46	sick
SMM4H2022znTrKAtvaUvXuK5R	ADE	71	75	trip
SMM4H2022vCaziQH3QJ3UT0F4	ADE	101	107	ur gut
SMM4H2022mfB4wigpCvNrg2Zo	ADE	79	88	can t get
SMM4H20224MP1GA3NOzagBkI7	ADE	28	39	gain weight
SMM4H2022odUsfY8J2fykgcSm	ADE	58	116	spaced out i also take anoxicillin as i may have infection
SMM4H2022MvLxh4YPLrctvN6I	ADE	42	52	brain zaps
SMM4H202216KhQbF51FA32nPh	ADE	39	51	panic attack
SMM4H2022DCr10RVidBQ2IBMB	ADE	75	81	puking
SMM4H2022l7Pgsq4iyKPLmX5R	ADE	49	95	sleepy and hyper at the same time chronic pain
SMM4H2022U81GrpMMl9UXzg0S	ADE	55	78	adderall gives you adhd
SMM4H202252D8BlolcuyWgRWY	ADE	54	60	sweats
SMM4H2022cy2133eJIKHLU6wj	ADE	28	52	hurting tonight and temp
SMM4H20221cQFASFOS1MOk84T	ADE	99	126	shakinglikeapolaroidpicture
